patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
DEFB134	5.338708786	5.265638785	5.346343847	5.235748887	5.419316949	5.207267224	5.247049917	5.187884213	5.153762936	5.219008593	5.259329128	5.307389519	5.243619307
HOXB8	5.549289292	6.369511864	5.434838742	7.947170245	5.466311972	5.86950421	5.399633996	5.663655466	10.04392669	5.571341113	5.623040581	5.649289015	5.589962686
CR738550	5.9456505	6.174259136	5.640451328	5.32420467	5.413803043	5.750969589	5.396518665	5.483373222	5.592069838	5.590347671	6.13215128	5.543420821	5.705018158
MAD2L1	7.163589323	7.176605364	6.952840334	7.762705502	7.683192068	7.771152948	7.947778301	7.445512596	9.017125314	7.495084709	6.804238009	7.318655204	6.462267646
FLJ42351	5.813767313	6.171747653	6.203924025	5.865110679	6.495053961	5.866965293	5.747734743	5.643221411	5.517461532	5.726371871	6.761583082	5.928024626	5.709233835
ZNF775	5.922583779	6.420976011	6.124558128	6.452115409	6.64640329	6.243478677	6.328788961	6.418735546	6.547758336	6.228377563	6.191883653	6.47809871	6.57568669
AW450267	5.319208162	5.707417459	5.928387082	5.567972749	5.621580178	5.62078535	5.735294218	5.73526764	5.650544873	5.583668187	5.706436778	5.621606395	5.666060219
RNF138	6.311331643	6.143552964	5.871723956	6.180554412	6.248543353	6.135499964	6.617013308	6.194525325	6.345445511	6.045774745	6.604239839	6.113879199	6.463209688
BE672694	5.33044302	5.410679485	5.445455241	5.737352846	5.493134095	5.402805174	5.670290653	5.594663685	5.492294513	5.501439381	5.512777459	5.751596762	5.501014897
PKNOX2	5.601198227	5.43424964	5.410758377	5.569872837	5.42881586	5.875263708	5.515411636	5.596119827	5.365722702	6.699215571	5.559759941	5.614834465	5.289172731
AA725558	5.242000716	5.484086244	5.664306045	5.18875717	5.196470461	5.158632227	5.352862935	5.21216578	5.451003563	5.44554131	5.413278452	5.25134651	5.509474611
ZNF627	7.289567919	6.903834053	6.721405629	7.130366758	7.061512773	6.69918481	6.587327612	7.633265858	7.291371116	6.970464077	6.640415303	6.40459104	7.182106627
